Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot a,1,2018,New england,Male,White,Junior college,Never married,Christian,Pretty happy,Refused,Not str republican,Conservative,No,Favor,Too much,Too little,About right,About right,Too much,Too little,Romney,Yes
Ballot c,2,2018,New england,Female,White,High school,Separated,Catholic,Very happy,$25000 or more,"Ind,near dem",Don't know,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,3,2018,New england,Male,White,Bachelor,Married,None,Very happy,$25000 or more,"Ind,near rep",Slghtly conservative,Not applicable,Not applicable,Too little,Too little,Too little,Don't know,Too little,Too little,Romney,Yes
Ballot b,4,2018,New england,Female,White,Bachelor,Married,Protestant,Very happy,Refused,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot c,5,2018,New england,Male,Black,Graduate,Divorced,Catholic,Pretty happy,Refused,Strong republican,Extrmly conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot a,6,2018,New england,Female,White,Bachelor,Widowed,Catholic,Not too happy,Don't know,"Ind,near dem",Slightly liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,7,2018,Middle atlantic,Female,Black,High school,Divorced,Protestant,Pretty happy,$15000 - 19999,Strong democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,8,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,Not str republican,Slghtly conservative,No,Favor,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Yes
Ballot b,9,2018,Middle atlantic,Female,White,Lt high school,Widowed,None,Not too happy,$5000 to 5999,Independent,Moderate,Not applicable,Not applicable,No answer,Too little,About right,Too much,Too much,Too little,Obama,Yes
Ballot b,10,2018,New england,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,11,2018,New england,Male,White,Graduate,Divorced,Catholic,Pretty happy,$25000 or more,Strong republican,Conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
