"","Male","Married","Protestant","Republican","GunOwner","Obama"
"1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"3",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"4",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"5",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"6",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"7",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"8",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"9",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"10",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"11",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"12",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"13",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"14",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"15",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"16",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"17",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"18",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"19",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"20",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"21",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"22",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"23",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"24",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"25",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"26",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"27",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"28",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"29",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"30",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"31",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"32",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"33",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"34",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"35",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"36",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"37",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"38",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"39",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"40",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"41",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"42",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"43",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"44",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"45",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"46",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"47",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"48",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"49",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"50",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"51",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"52",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"53",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"54",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"55",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"56",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"57",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"58",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"59",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"60",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"61",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"62",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"63",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"64",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"65",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"66",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"67",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"68",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"69",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"70",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"71",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"72",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"73",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"74",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"75",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"76",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"77",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"78",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"79",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"80",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"81",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"82",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"83",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"84",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"85",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"86",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"87",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"88",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"89",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"90",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"91",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"92",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"93",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"94",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"95",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"96",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"97",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"98",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"99",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"100",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
